service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
16101,0,0,0,0,0,1,1,20190921,20190922
16095,0,0,0,0,1,0,0,20190712,20190802
16096,1,1,1,1,0,0,0,20190805,20190906
15904,0,0,0,0,0,1,0,20190810,20190831
30574,0,0,0,0,0,1,0,20190923,20191005
15875,0,0,0,0,0,1,0,20190713,20190803
16097,1,1,1,1,0,0,0,20190708,20190801
16094,0,0,0,0,1,0,0,20190809,20190823
16106,1,1,1,1,0,1,1,20190708,20190804
30575,0,0,0,0,0,0,1,20190923,20191006
30576,0,0,0,0,1,0,0,20190913,20191004
16105,1,1,1,1,0,0,0,20190805,20190822
15883,0,0,0,1,0,1,1,20190810,20190825
15882,0,0,0,0,0,1,1,20190713,20190804
16103,0,0,0,0,1,0,0,20190712,20190802
15866,0,0,0,0,0,0,1,20190714,20190825
15874,0,0,0,0,0,1,0,20190810,20190824
15915,0,0,0,0,0,0,1,20190714,20190804
15997,1,1,1,1,1,0,0,20190805,20190823
16099,0,0,0,0,0,1,0,20190713,20190803
16098,0,0,0,1,0,0,1,20190811,20190825
16089,1,1,1,1,1,0,0,20190708,20190802
15998,0,0,0,0,0,0,1,20190923,20191006
15993,1,1,1,1,1,0,0,20190708,20190802
16085,1,1,1,1,1,0,0,20190708,20190802
15913,0,0,0,0,0,1,0,20190713,20190803
30577,0,0,0,0,0,1,0,20190923,20191005
16092,1,1,1,1,1,0,0,20190819,20190906
16113,0,0,0,0,0,1,1,20190713,20190804
16088,1,1,1,1,1,0,0,20190909,20191004
16090,1,1,1,1,1,0,0,20190805,20190816
30578,1,1,1,1,0,1,0,20190708,20190803
14147,0,0,0,0,0,1,1,20190803,20190804
16076,0,0,0,0,0,1,1,20190713,20190728
16112,0,0,0,0,0,1,1,20190923,20191006
16162,0,0,0,0,0,1,1,20190810,20190908
15846,0,0,0,0,0,0,1,20190714,20190804
4360,0,0,0,0,0,0,1,20190929,20191006
16123,0,0,0,0,0,0,1,20190811,20190901
16116,0,0,0,1,0,0,1,20190811,20190818
1635,0,0,0,0,0,0,1,20190825,20190901
16154,0,0,0,0,0,0,1,20190923,20191006
16120,0,0,0,0,1,0,0,20190809,20190816
16122,0,0,0,0,1,0,0,20190712,20190802
16132,1,1,1,1,0,1,0,20190819,20190824
16129,1,1,1,1,0,0,0,20190909,20191003
16119,1,1,1,1,0,1,0,20190805,20190817
16124,1,1,1,1,0,1,0,20190708,20190803
16117,0,0,0,0,1,0,0,20190913,20191004
16125,1,1,1,1,1,0,0,20190823,20190906
16115,1,1,1,1,0,0,0,20190909,20191003
16118,0,0,0,0,0,1,0,20190923,20191005
15938,0,0,0,0,0,0,1,20190713,20190811
