service_id,date,exception_type
199,20191004,1
962,20190901,1
12393,20191111,2
254,20191111,1
988,20191111,2
988,20191031,2
982,20191111,1
982,20191031,1
982,20191101,2
11220,20191101,1
11220,20191111,1
12395,20191111,2
12395,20191101,2
12396,20191101,1
12396,20191111,1
12397,20191101,1
12397,20191111,1
258,20191111,2
102,20191111,2
102,20191101,2
968,20191111,2
968,20191101,2
967,20191031,1
967,20191111,1
12398,20191111,1
966,20191112,1
966,20191111,2
958,20191101,1
12399,20191101,1
12399,20191031,2
12399,20191111,2
12400,20191111,1
12400,20191031,1
12400,20191101,2
12401,20191111,1
12401,20191031,1
12401,20191101,2
10305,20191101,1
124,20191111,2
124,20191101,2
990,20191031,1
990,20191101,2
12402,20191101,1
12402,20191031,2
12403,20191111,1
12405,20191111,1
12405,20191031,1
12405,20191101,2
12406,20191111,1
12407,20191111,1
12407,20191031,1
12407,20191101,2
986,20191101,1
985,20191111,1
985,20191031,1
985,20191101,2
965,20191101,1
965,20191111,1
984,20191101,1
12410,20191111,2
12410,20191031,2
442,20191111,2
442,20191101,2
1422,20191111,1
1031,20191111,2
1031,20191101,2
1027,20191111,1
1016,20191111,2
1016,20191101,2
1021,20191111,1
1022,20190901,1
237,20191111,2
237,20191101,2
1033,20191111,1
234,20191111,2
234,20191101,2
826,20191111,2
826,20191101,2
25,20191012,1
4002,20191019,1
4002,20191109,1
6475,20191020,1
6475,20191111,1
4920,20191112,1
4920,20191111,2
408,20191014,1
75,20191013,1
2856,20191111,2
2856,20191101,2
9044,20191101,1
9044,20191026,1
9044,20191102,1
11245,20190907,1
11245,20190914,1
35,20190921,1
11247,20191110,2
62,20191006,1
10304,20191019,1
10304,20191101,1
38,20191026,1
11248,20191103,1
12411,20191111,2
12411,20191101,2
11059,20191112,2
11059,20191101,2
8663,20191101,1
8663,20191102,1
34,20191027,1
3922,20191031,1
3922,20191101,2
3476,20191112,1
3476,20191111,2
11262,20191007,1
243,20191101,1
243,20191111,1
835,20191111,2
835,20191101,2
12412,20191111,2
12412,20191101,2
12413,20191101,1
12413,20191111,1
12415,20191101,1
12415,20191111,1
12417,20191101,1
12417,20191111,1
12418,20191111,2
12418,20191101,2
2530,20190907,1
2608,20190902,1
12419,20191111,2
12419,20191021,2
12419,20191022,2
12419,20191023,2
12419,20191024,2
12419,20191025,2
12419,20191028,2
12419,20191029,2
12419,20191030,2
12419,20191031,2
12419,20191101,2
12420,20191111,2
12420,20191021,2
12420,20191022,2
12420,20191023,2
12420,20191024,2
12420,20191025,2
12420,20191028,2
12420,20191029,2
12420,20191030,2
12420,20191031,2
12420,20191101,2
12422,20191014,1
12422,20191015,1
12422,20191016,1
12422,20191017,1
12422,20191018,1
12422,20191021,1
12422,20191022,1
12422,20191023,1
12422,20191024,1
12422,20191025,1
12422,20190909,1
12422,20190923,1
12422,20190930,1
12422,20191007,1
12422,20191028,1
12422,20190902,1
12422,20190904,1
12422,20190905,1
12422,20190906,1
12422,20190916,1
12422,20190918,1
12422,20190919,1
12422,20190920,1
12423,20191111,2
12423,20191021,2
12423,20191022,2
12423,20191023,2
12423,20191024,2
12423,20191025,2
12423,20191028,2
12423,20191029,2
12423,20191030,2
12423,20191031,2
12423,20191101,2
595,20190902,1
12426,20191111,2
12426,20191028,2
12426,20191029,2
12426,20191030,2
12426,20191031,2
12426,20191101,2
12426,20191021,2
12426,20191022,2
12426,20191023,2
12426,20191024,2
12426,20191025,2
12426,20191026,2
12427,20191111,2
12427,20191021,2
12427,20191022,2
12427,20191023,2
12427,20191024,2
12427,20191025,2
12427,20191028,2
12427,20191029,2
12427,20191030,2
12427,20191031,2
12427,20191101,2
12428,20191101,1
12428,20191111,1
12429,20191111,2
12429,20191101,2
12430,20191028,2
12430,20191029,2
12430,20191030,2
12430,20191031,2
12430,20191021,2
12430,20191022,2
12430,20191023,2
12430,20191024,2
12430,20191025,2
12431,20190902,2
12431,20191028,2
12431,20191029,2
12431,20191030,2
12431,20191031,2
12432,20191111,2
12432,20191021,2
12432,20191022,2
12432,20191023,2
12432,20191024,2
12432,20191025,2
12432,20191028,2
12432,20191029,2
12432,20191030,2
12432,20191031,2
12432,20191101,2
12433,20191111,2
12433,20191021,2
12433,20191022,2
12433,20191023,2
12433,20191024,2
12433,20191025,2
12433,20191028,2
12433,20191029,2
12433,20191030,2
12433,20191031,2
12433,20191101,2
12436,20191101,1
12436,20191111,1
12437,20191111,2
12437,20191101,2
12439,20191028,2
12439,20191029,2
12439,20191030,2
12439,20191031,2
12439,20191021,2
12439,20191022,2
12439,20191023,2
12439,20191024,2
12439,20191025,2
12440,20191111,1
12440,20191021,1
12440,20191022,1
12440,20191023,1
12440,20191024,1
12440,20191025,1
12440,20191028,1
12440,20191029,1
12440,20191030,1
12440,20191031,1
12440,20191101,1
12444,20191111,2
12444,20191101,2
12449,20191111,2
12449,20191021,2
12449,20191022,2
12449,20191023,2
12449,20191024,2
12449,20191025,2
12449,20191028,2
12449,20191029,2
12449,20191030,2
12449,20191031,2
12449,20191101,2
12450,20191101,1
12450,20191111,1
12451,20191021,1
12451,20191022,1
12451,20191023,1
12451,20191024,1
12451,20191025,1
12451,20191028,1
12451,20191029,1
12451,20191030,1
12451,20191031,1
12453,20191111,2
12453,20191021,2
12453,20191022,2
12453,20191023,2
12453,20191024,2
12453,20191025,2
12453,20191028,2
12453,20191029,2
12453,20191030,2
12453,20191031,2
12453,20191101,2
12455,20191101,1
12455,20191111,1
12456,20191111,1
12456,20191021,1
12456,20191022,1
12456,20191023,1
12456,20191024,1
12456,20191025,1
12456,20191028,1
12456,20191029,1
12456,20191030,1
12456,20191031,1
12456,20191101,1
12457,20191111,2
12457,20191101,2
12460,20191028,2
12460,20191029,2
12460,20191030,2
12460,20191031,2
12460,20191021,2
12460,20191022,2
12460,20191023,2
12460,20191024,2
12460,20191025,2
12461,20191111,2
12461,20191101,2
12462,20191021,1
12462,20191022,1
12462,20191023,1
12462,20191024,1
12462,20191025,1
12462,20191028,1
12462,20191029,1
12462,20191030,1
12462,20191031,1
12464,20191101,1
12464,20191111,1
12469,20191111,2
12469,20191021,2
12469,20191022,2
12469,20191023,2
12469,20191024,2
12469,20191025,2
12469,20191028,2
12469,20191029,2
12469,20191030,2
12469,20191031,2
12469,20191101,2
12471,20191101,1
12471,20191111,1
12475,20191111,2
12475,20191021,2
12475,20191022,2
12475,20191023,2
12475,20191024,2
12475,20191025,2
12475,20191028,2
12475,20191029,2
12475,20191030,2
12475,20191031,2
12475,20191101,2
12477,20190902,1
12477,20190903,1
12477,20190904,1
12477,20190905,1
12477,20190906,1
12477,20191111,2
12477,20191101,2
12478,20191101,1
12478,20191111,1
12479,20191111,2
12479,20191021,2
12479,20191022,2
12479,20191023,2
12479,20191024,2
12479,20191025,2
12479,20191028,2
12479,20191029,2
12479,20191030,2
12479,20191031,2
12479,20191101,2
12480,20191111,2
12480,20191021,2
12480,20191022,2
12480,20191023,2
12480,20191024,2
12480,20191025,2
12480,20191028,2
12480,20191029,2
12480,20191030,2
12480,20191031,2
12480,20191101,2
12481,20191111,2
12481,20191101,2
12482,20191111,2
12482,20191101,2
12483,20191111,2
12483,20191101,2
12485,20190902,2
12486,20191111,2
12486,20191021,2
12486,20191022,2
12486,20191023,2
12486,20191024,2
12486,20191025,2
12486,20191028,2
12486,20191029,2
12486,20191030,2
12486,20191031,2
12486,20191101,2
12487,20191111,2
12487,20191021,2
12487,20191022,2
12487,20191023,2
12487,20191024,2
12487,20191025,2
12487,20191028,2
12487,20191029,2
12487,20191030,2
12487,20191031,2
12487,20191101,2
12489,20191101,1
12489,20191111,1
12490,20191111,2
12490,20191021,2
12490,20191022,2
12490,20191023,2
12490,20191024,2
12490,20191025,2
12490,20191028,2
12490,20191029,2
12490,20191030,2
12490,20191031,2
12490,20191101,2
12491,20191111,2
12491,20191021,2
12491,20191022,2
12491,20191023,2
12491,20191024,2
12491,20191025,2
12491,20191028,2
12491,20191029,2
12491,20191030,2
12491,20191031,2
12491,20191101,2
12492,20191021,1
12492,20191022,1
12492,20191023,1
12492,20191024,1
12492,20191025,1
12492,20191028,1
12492,20191029,1
12492,20191030,1
12492,20191031,1
12493,20191111,1
12493,20191021,1
12493,20191022,1
12493,20191023,1
12493,20191024,1
12493,20191025,1
12493,20191028,1
12493,20191029,1
12493,20191030,1
12493,20191031,1
12493,20191101,1
12494,20191111,2
12494,20191021,2
12494,20191022,2
12494,20191023,2
12494,20191024,2
12494,20191025,2
12494,20191028,2
12494,20191029,2
12494,20191030,2
12494,20191031,2
12494,20191101,2
12496,20191111,2
12496,20191021,2
12496,20191022,2
12496,20191023,2
12496,20191024,2
12496,20191025,2
12496,20191028,2
12496,20191029,2
12496,20191030,2
12496,20191031,2
12496,20191101,2
12497,20191111,2
12497,20191101,2
12498,20191111,2
12498,20191101,2
12499,20191111,2
12499,20191101,2
12500,20191111,2
12500,20191101,2
12501,20191111,2
12501,20191101,2
12501,20190916,2
12501,20190917,2
12501,20190918,2
12501,20190919,2
12501,20190920,2
12501,20190923,2
12501,20190924,2
12501,20190925,2
12501,20190926,2
12501,20190927,2
12501,20190930,2
12501,20191001,2
12501,20191002,2
12501,20191003,2
12501,20191004,2
12502,20191111,2
12502,20191101,2
12503,20191111,2
12503,20191101,2
12503,20190916,2
12503,20190917,2
12503,20190918,2
12503,20190919,2
12503,20190920,2
12503,20190923,2
12503,20190924,2
12503,20190925,2
12503,20190926,2
12503,20190927,2
12503,20190930,2
12503,20191001,2
12503,20191002,2
12503,20191003,2
12503,20191004,2
12504,20191111,2
12504,20191101,2
12506,20191111,2
12506,20191101,2
12506,20190916,2
12506,20190917,2
12506,20190918,2
12506,20190919,2
12506,20190920,2
12506,20190923,2
12506,20190924,2
12506,20190925,2
12506,20190926,2
