route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE1109945,OCESN,"","[IC351] PARIS - AMIENS - BOULOGNE",,2,,,
OCESN-87313874-87317263,OCESN,"","Amiens - Calais Ville",,2,,,
OCESN-87116137-87116160,OCESN,"","Longueville (S.-et-M.) - Provins",,3,,,
OCE1109947,OCESN,"","[IC372] PARIS - MAUBEUGE - CAMBRAI",,2,,,
OCESN-87116301-87430819,OCESN,"","Coulommiers - La-Ferté-Gaucher-Centre",,3,,,
OCE1209987,OCESN,"","Paris-Bourges-Montluçon",,2,,,
OCESN-87681007-87682005,OCESN,"","Corbeil-Essonnes - Melun",,2,,,
OCESN-87681007-87681635,OCESN,"","Corbeil-Essonnes - Coudray-Montceaux",,3,,,
OCESN-87681007-87681452,OCESN,"","Corbeil-Essonnes - La Ferté-Alais",,3,,,
OCE1325991,OCESN,"","Paris-Montargis-Nevers",,2,,,
OCESN-87317586-87271007,OCESN,"","Boulogne Ville - Paris Gare du Nord",,2,,,
OCE1109946,OCESN,"","[IC356] PARIS - AMIENS",,2,,,
OCE1109948,OCESN,"","[IC376] PARIS - ST QUENTIN",,2,,,
OCE1209988,OCESN,"","Paris-Orléans-Tours",,2,,,
OCESN-87313874-87271007,OCESN,"","Amiens - Paris Gare du Nord",,2,,,
OCE610,OCESN,"","Paris-Vaug. / Dreux / Argentan / Granville",,2,,,
OCE35,OCESN,"","Paris-Le Mans",,2,,,
OCE1209980,OCESN,"","ORL-TOURS",,2,,,
OCE669703,OCESN,"","Tours-Paray-Lyon",,2,,,
OCE647,OCESN,"","Villefranche-La Tour de Carol",,2,,,
OCE655,OCESN,"","ROMANS/BRIANCON",,2,,,
OCE343,OCESN,"","IC MARSEILLE/SISTERON/BRIANCON + GAP/BRI",,2,,,
OCESN-87763003-87751008,OCENI,"","Gap - Marseille-St-Charles",,3,,,
OCESN-87763003-87751370,OCESN,"","Gap - Meyrargues",,2,,,
OCESN-87763607-87751206,OCESN,"","Briançon - Sisteron",,2,,,
OCESN-87763607-87751008,OCESN,"","Briançon - Marseille-St-Charles",,2,,,
OCESN-87763607-87751370,OCESN,"","Briançon - Meyrargues",,2,,,
OCESN-87763607-87763003,OCENI,"","Briançon - Gap",,3,,,
OCE685635,OCESN,"","IV Marseille - Nice - Menton - Vintimille",,2,,,
OCE46,OCESN,"","Geneve - Evian - Annecy - Valence - Avignon",,2,,,
OCESN-87747006-87761007,OCESN,"","Grenoble - Valence-Ville",,2,,,
OCESN-87741009-87761007,OCESN,"","Chambéry-Chal.-les-Eaux - Valence-Ville",,2,,,
OCESN-87746008-87741009,OCESN,"","Annecy - Chambéry-Chal.-les-Eaux",,3,,,
OCESN-87746008-87747006,OCESN,"","Annecy - Grenoble",,2,,,
OCE213,OCESN,"","Lyon - Grenoble",,2,,,
OCE160686,OCESN,"","Lyon - Marseille Multi Activités",,2,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCESN-87713040-87723197,OCESN,"","Dijon-Ville - Lyon-Part-Dieu",,2,,,
OCE16635,OCESN,"","Lyon - (LTP) - Chambéry - Bourg-St-Maurice",,2,,,
OCE67,OCESN,"","Lyon - (LTP) - Chambéry - Modane",,2,,,
OCE52,OCESN,"","Lyon - Annecy",,2,,,
OCE1226021,OCESN,"","Besançon - Morteau - La Chaux de Fonds",,2,,,
OCE1226026,OCESN,"","Pontarlier - Frasne - Vallorbe",,2,,,
OCE1226022,OCESN,"","Dole - Pontarlier et Besançon - Dole - St Claude",,2,,,
OCESN-85043141-87718619,OCESN,"","La Chaux-de-Fonds - Morteau",,2,,,
OCE1226025,OCESN,"","Belfort - Delle",,2,,,
OCE16634,OCESN,"","Lyon - (LTP - AMB) - Chambéry",,2,,,
OCE240,OCESN,"","Vallorcine - St-Gervais",,2,,,
OCE1353992,OCESN,"","aulnoye feignies mons",,2,,,
OCE633121,OCESN,"","LILLE-TOURCOING-MOUSCRON courtrai",,2,,,
OCE1349993,OCESN,"","maubeuge jeumont namur",,2,,,
OCE697619,OCESN,"","LILLE-TOURNAI-ASCQ-ORCHIES",,2,,,
OCESN-87342014-87295063,OCESN,"","Arras - Hirson",,2,,,
OCE12,OCESN,"","Guingamp - Carhaix",,2,,,
OCESN-87184200-87184002,OCESN,"","Bas-Evette - Belfort-Ville",,2,,,
OCESN-87756833-87756056,OCESN,"","Breil-sur-Roya - Nice-Ville",,2,,,
OCE317,OCESN,"","NICE/TENDE",,2,,,
OCESN-87756056-87756882,OCESN,"","Nice-Ville - Tende",,2,,,
OCE325,OCESN,"","Saarbrücken-Forbach-Metz",,2,,,
OCE600929,OCESN,"","Cars Réguliers Haguenau - Niederbronn - Bitche",,3,,,
OCE600930,OCESN,"","Cars Réguliers Strasbourg -Haguenau",,3,,,
OCE600928,OCESN,"","Cars Réguliers Haguenau - Wissembourg",,3,,,
OCE596931,OCESN,"","Cars Réguliers Haguenau-Obermodern-Saverne",,3,,,
OCE476859,OCESN,"","Cars Réguliers Strasbourg-Sélestat via Erstein",,3,,,
OCE616985,OCESN,"","Cars Réguliers Colmar - Bollwiller - Mulhouse",,3,,,
OCE464859,OCESN,"","Cars Réguliers Mommenheim-Bouxwiller",,3,,,
OCE600927,OCESN,"","Cars Réguliers Strasbourg-Sarreguemines",,3,,,
OCE616988,OCESN,"","Cars Réguliers Ingwiller - Wimmenau - Lichtenberg",,3,,,
OCE600931,OCESN,"","Cars Réguliers Strasbourg - Saverne",,3,,,
OCE829898,OCESN,"","Cars Réguliers Saverne - Lutzelbourg",,3,,,
OCE616987,OCESN,"","Cars Réguliers Mulhouse - Kruth",,3,,,
OCE616984,OCESN,"","Cars Réguliers Colmar - Munster - Metzeral",,3,,,
OCE472859,OCESN,"","Cars Réguliers Sewen-Cernay",,3,,,
OCE616986,OCESN,"","Cars Réguliers Mulhouse - St Louis - Bâle",,3,,,
OCE468860,OCESN,"","Cars Réguliers Frohmuhl-Saverne",,3,,,
OCE468861,OCESN,"","Cars Réguliers Saverne-Hattmatt",,3,,,
OCE600932,OCESN,"","Cars Réguliers Strasbourg-Lauterbourg",,3,,,
OCE616989,OCESN,"","Cars Réguliers Strasbourg - Barr - Sélestat",,3,,,
OCESN-87214528-87212027,OCESN,"","Entzheim-Aéroport - Strasbourg",,3,,,
OCE616990,OCESN,"","Cars Réguliers Strasbourg - Rothau - Saales",,3,,,
OCE596933,OCESN,"","Cars Réguliers Mulhouse-Belfort",,3,,,
OCE528888,OCESN,"","Cars Réguliers Sélestat - Ribeauvillé - (Riquewihr)",,3,,,
OCE468859,OCESN,"","Cars Réguliers St-Dié-Ste Marie aux Mines-Sélestat",,3,,,
OCE540929,OCESN,"","Cars Montluçon / Vierzon",,3,,,
OCE420859,OCESN,"","Cars Clermont Fd / Ussel / Mauriac",,3,,,
OCE540928,OCESN,"","Cars Montluçon / Gannat / Clermont Fd",,3,,,
OCE1465994,OCESN,"","Cars Brive / St Denis Près Martel / Aurillac",,3,,,
OCE1465993,OCESN,"","Cars Aurillac / Figeac",,3,,,
OCE572935,OCESN,"","Cars Clermont Fd / St Etienne",,3,,,
OCE484866,OCESN,"","Cars Clermont / Le Puy",,3,,,
OCE1465995,OCESN,"","Cars Arvant / Aurillac",,3,,,
OCE1465992,OCESN,"","Cars Moulins / Vichy",,3,,,
OCE428859,OCESN,"","Cars Volvic / St Gervais",,3,,,
OCE156701,OCESN,"","Cars Roanne - Lyon",,3,,,
OCE424860,OCESN,"","Cars St Gervais / St Eloy / Montluçon",,3,,,
OCE464860,OCESN,"","Cars St Chély / St Flour / Arvant",,3,,,
OCE456859,OCESN,"","Cars Bort Les Orgues / Neussargues",,3,,,
OCESN-87734004-87783175,OCESN,"","Clermont-Ferrand - St-Flour-Chaudes-Aigues",,3,,,
OCESN-87734004-87395822,OCESN,"","Clermont-Ferrand - St-Flour-les-Allées",,3,,,
OCE484887,OCESN,"","Cars Le Puy / Firminy",,3,,,
OCE532896,OCESN,"","Cars Ambert / Le Puy",,3,,,
OCE556927,OCESN,"","Cars Vichy / Ambert",,3,,,
OCE725923,OCESN,"","Nevers - Luzy",,3,,,
OCE725924,OCESN,"","Etang - Autun",,3,,,
OCE725930,OCESN,"","Nevers - Moulins",,3,,,
OCE725907,OCESN,"","Paray-le-Monial - Moulins-sur-Allier",,3,,,
OCE725908,OCESN,"","Digoin - Paray-le-Monial - Lozanne",,3,,,
OCE725918,OCESN,"","Seurre - Bourg-en-Bresse",,3,,,
OCE725916,OCESN,"","Auxerre - Avallon",,3,,,
OCE725915,OCESN,"","Auxerre - Clamecy - Corbigny",,3,,,
OCE869850,OCESN,"","Clamecy - Corbigny",,3,,,
OCE1097897,OCESN,"","Chateaubriant - Janze",,3,,,
OCESN-87471003-87471359,OCESN,"","Rennes - Retiers",,3,,,
OCESN-87481648-87471003,OCESN,"","Châteaubriant - Rennes",,3,,,
OCESN-87471334-87471003,OCESN,"","Janzé - Rennes",,3,,,
OCE817875,OCESN,"","Valençay - Luçay le Male CAR",,3,,,
OCE817873,OCESN,"","Salbris - Valençay",,3,,,
OCE701665,OCESN,"","BUS TER SEDAN-LA FERTE SUR CHIERS",,3,,,
OCE1518126,OCESN,"","BUS TER CHALONS EN CHAMPAGNE - VERDUN",,3,,,
OCE701666,OCESN,"","BUS TER CHALONS-LANGRES",,3,,,
OCE701667,OCESN,"","BUS TER TROYES - CHAUMONT",,3,,,
OCESN-87142000-87118257,OCESN,"","Chaumont - Vendeuvre (Aube)",,3,,,
OCE701668,OCESN,"","BUS TER TROYES - LAROCHES-MIGENNES",,3,,,
OCE701669,OCESN,"","BUS TER TROYES - NOGENT-SUR-SEINE",,3,,,
OCE1522080,OCESN,"","BUS TER-CHARLEVILLE-HIRSON",,3,,,
OCE1121941,OCESN,"","Aillevillers -  Belfort",,3,,,
OCE1337993,OCESN,"","Besançon-Le Locle",,3,,,
OCESN-87718007-87718619,OCESN,"","Besançon-Viotte - Morteau",,3,,,
OCESN-85043166-87718619,OCESN,"","Le Locle - Morteau",,3,,,
OCE1337995,OCESN,"","Dole- Mouchard- Saint Claude",,3,,,
OCE1337994,OCESN,"","Besançon- Mouchard- Lons Le Saunier",,3,,,
OCESN-87718239-87718833,OCESN,"","Lons-le-Saunier - Mouchard",,3,,,
OCESN-87718007-87718833,OCESN,"","Besançon-Viotte - Mouchard",,2,,,
OCE1121942,OCESN,"","Pontarlier - Frasne",,3,,,
OCE1337996,OCESN,"","Frasne- Vallorbe",,3,,,
OCE140665,OCESN,"","ligne routière Alès Nîmes",,3,,,
OCE140660,OCESN,"","ligne routière La Bastide Langogne Mende",,3,,,
OCE1530067,OCESN,"","Langogne La Bastide Mende",,3,,,
OCE140657,OCESN,"","ligne routière St Chély Millau",,3,,,
OCE140656,OCESN,"","ligne routière Mende Clermont Ferrand",,3,,,
OCE140661,OCESN,"","ligne routière Mende Le Puy",,3,,,
OCE140659,OCESN,"","ligne routière Mende Marvejols St chély",,3,,,
OCESN-87615286-87615260,OCESN,"","Carcassonne - Quillan",,3,,,
OCESN-87615286-87615161,OCESN,"","Carcassonne - Limoux",,2,,,
OCESN-87615161-87615260,OCESN,"","Limoux - Quillan",,3,,,
OCE144650,OCESN,"","ligne routière Béziers Bédarieux",,3,,,
OCE532920,OCESN,"","Montluçon - Guéret",,3,,,
OCE532923,OCESN,"","Ussel - Brive",,3,,,
OCE572944,OCESN,"","Ussel - Bort les Orgues",,3,,,
OCE1469999,OCESN,"","Car CULMONT CHALINDREY-VITTEL",,3,,,
OCE629078,OCESN,"","Car SARREGUEMINES - BENING",,3,,,
OCE1469996,OCESN,"","Car CHARMES-MIRECOURT-VITTEL",,3,,,
OCE1469997,OCESN,"","Car VITTEL-CONTREX-NANCY",,3,,,
OCE625078,OCESN,"","Car SARREBOURG-IGNEY AVRICOURT-LUNEVILLE",,3,,,
OCE629083,OCESN,"","Car LONGWY - LONGUYON",,3,,,
OCE637120,OCESN,"","Car LONGUYON - MONTMEDY",,3,,,
OCE637181,OCESN,"","Car SARREBOURG - MORHANGE",,3,,,
OCESN-87192286-87192237,OCESN,"","Morhange - Rémilly",,3,,,
OCE637164,OCESN,"","Car NANCY - NEUFCHATEAU",,3,,,
OCE637174,OCESN,"","Car CREUTZWALD - THIONVILLE",,3,,,
OCE637146,OCESN,"","Car ST DIE - EPINAL",,3,,,
OCESN-87144410-87144006,OCESN,"","Arches - Epinal",,3,,,
OCESN-87716464-87144014,OCESN,"","Bruyères Chanzy Gare - St-Dié-des-Vosges",,3,,,
OCESN-87144006-87716829,OCESN,"","Epinal - Laveline-d-Bruy. Mairie",,3,,,
OCE621078,OCESN,"","Car THIONVILLE - APACH",,3,,,
OCESN-87215459-87193615,OCESN,"","Sarre-Union - Sarreguemines",,3,,,
OCESN-87717751-87215459,OCESN,"","Herbitzheim Mairie - Sarre-Union",,3,,,
OCESN-87193714-87193615,OCESN,"","Sarralbe - Sarreguemines",,3,,,
OCESN-87406991-87193615,OCESN,"","Sarralbe (Hôtel de Vill - Sarreguemines",,3,,,
OCE637136,OCESN,"","Car SARREBOURG - SARREGUEMINES",,3,,,
OCE637111,OCESN,"","Car NANCY - METZ",,3,,,
OCESN-87215012-87193615,OCESN,"","Sarrebourg - Sarreguemines",,3,,,
OCESN-87193714-87212225,OCESN,"","Sarralbe - Saverne",,3,,,
OCESN-87406991-87212225,OCESN,"","Sarralbe (Hôtel de Vill - Saverne",,3,,,
OCESN-87215459-87212225,OCESN,"","Sarre-Union - Saverne",,3,,,
OCESN-87193615-87212225,OCESN,"","Sarreguemines - Saverne",,3,,,
OCESN-87716464-87716449,OCESN,"","Bruyères Chanzy Gare - Saint-Léonard Centre",,3,,,
OCE180690,OCESN,"","Bus 4706+4708 Gaillac Laguépie Figeac",,3,,,
OCE180687,OCESN,"","Bus 4709 4711 Toulouse Albi Carmaux Rodez",,3,,,
OCE180691,OCESN,"","Bus 4705 (TE) Villefranche de R (FIG) (BLG) Aubin Viviez Decazeville Rodez",,3,,,
OCE180689,OCESN,"","Bus 4710 4707 (Brive) Gramat Figeac Rodez",,3,,,
OCE180696,OCESN,"","Bus 4703 4702 4701 (TE) Montauban Cahors Brive",,3,,,
OCE180697,OCESN,"","Bus 4713 (TE) Castelsarrasin Agen",,3,,,
OCE180698,OCESN,"","Bus 4712 Toulouse Mazamet",,3,,,
OCE180694,OCESN,"","Bus 4726 4724 1240 4723 4727 1260 4728 Toulouse -LNN SSTL- Luchon Pau",,3,,,
OCE180695,OCESN,"","Bus 4733 4734 Toulouse Ax - Foix Tarascon Latour de Carol",,3,,,
OCE180688,OCESN,"","Bus 4736 Rodez Séverac Millau St Rome de Cernon",,3,,,
OCE180692,OCESN,"","Bus 4737 (TE) Souillac (BLG) (RDZ) St Denis Près Martel (BLG)",,3,,,
OCE873870,OCESN,"","CAR-BUSIGNY-AULNOYE-JEUMONT(p)",,3,,,
OCE873866,OCESN,"","CAR-LILLE-DON-BETHUNE-ST POL",,3,,,
OCE873871,OCESN,"","LILLE-DOUAI-VALENCIENNES-CAMBRAI",,3,,,
OCESN-87286583-87286518,OCESN,"","Orchies - Seclin",,3,,,
OCESN-87286518-87286625,OCESN,"","Seclin - Templeuve",,3,,,
