route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1109945,2108,OCESN002013F0800810246,"2013",1,,
OCE1109945,2108,OCESN002011F1401410238,"2011",1,,
OCE1109945,16101,OCESN002035F0200210308,"2035",1,,
OCE1109945,535,OCESN002017F0800810265,"2017",1,,
OCE1109945,16095,OCESN002025F0400410282,"2025",1,,
OCE1109945,16096,OCESN002025F0700710281,"2025",1,,
OCE1109945,15904,OCESN002021F0700710270,"2021",1,,
OCE1109945,30574,OCESN002021F0500510269,"2021",1,,
OCE1109945,15875,OCESN002021F0400410271,"2021",1,,
OCE1109945,16097,OCESN002025F0100110280,"2025",1,,
OCE1109945,16094,OCESN002025F0200210279,"2025",1,,
OCE1109945,16106,OCESN002035F1101110314,"2035",1,,
OCE1109945,30575,OCESN002035F1701710313,"2035",1,,
OCE1109945,30576,OCESN002035F0500510316,"2035",1,,
OCE1109945,16105,OCESN002035F0100110315,"2035",1,,
OCE1109945,16094,OCESN002035F1501510311,"2035",1,,
OCE1109945,15883,OCESN002027F0100110295,"2027",1,,
OCE1109945,15882,OCESN002027F0400410294,"2027",1,,
OCE1109945,16103,OCESN002035F0900910310,"2035",1,,
OCE1109945,15883,OCESN002035F0300310309,"2035",1,,
OCE1109945,15866,OCESN002017F0200210268,"2017",1,,
OCE1109945,15874,OCESN002011F1101110239,"2011",1,,
OCE1109945,15915,OCESN002011F1501510237,"2011",1,,
OCE1109945,15997,OCESN002013F0700710242,"2013",1,,
OCE1109945,16099,OCESN002011F1301310240,"2011",1,,
OCE1109945,15997,OCESN002005F0600610223,"2005",1,,
OCE1109945,16098,OCESN002011F1601610236,"2011",1,,
OCE1109945,16089,OCESN002005F0700710224,"2005",1,,
OCE1109945,15997,OCESN002017F0100110267,"2017",1,,
OCE1109945,15998,OCESN002017F1001010266,"2017",1,,
OCE1109945,15993,OCESN002017F0600610264,"2017",1,,
OCE1109945,15874,OCESN002013F1001010243,"2013",1,,
OCE1109945,16085,OCESN002013F0100110244,"2013",1,,
OCE1109945,15913,OCESN002013F0900910245,"2013",1,,
OCE1109945,30577,OCESN002035F1401410312,"2035",1,,
OCE1109945,9166,OCESN002014F1401410254,"2014",0,,
OCE1109945,2108,OCESN002008F1101110228,"2008",0,,
OCE1109945,15883,OCESN002026F1501510284,"2026",0,,
OCE1109945,16092,OCESN002022F0300310278,"2022",0,,
OCE1109945,16092,OCESN002026F1801810283,"2026",0,,
OCE1109945,16113,OCESN002026F1301310291,"2026",0,,
OCE1109945,16088,OCESN002026F1601610287,"2026",0,,
OCE1109945,16090,OCESN002026F0500510288,"2026",0,,
OCE1109945,30578,OCESN002014F2602610259,"2014",0,,
OCE1109945,474,OCESN002014F2702710260,"2014",0,,
OCE1109945,3413,OCESN002014F2202210257,"2014",0,,
OCE1109945,16089,OCESN002022F0400410274,"2022",0,,
OCE1109945,16090,OCESN002022F0600610275,"2022",0,,
OCE1109945,16095,OCESN002014F1501510262,"2014",0,,
OCE1109945,14147,OCESN002034F1101110306,"2034",0,,
OCE1109945,16076,OCESN002034F0300310307,"2034",0,,
OCE1109945,16112,OCESN002034F1001010304,"2034",0,,
OCE1109945,16162,OCESN002034F0900910305,"2034",0,,
OCE1109945,15846,OCESN002036F0400410320,"2036",0,,
OCE1109945,4360,OCESN002036F0800810321,"2036",0,,
OCE1109945,16123,OCESN002036F0300310317,"2036",0,,
OCE1109945,16116,OCESN002030F0800810297,"2030",0,,
OCE1109945,16092,OCESN002030F1501510298,"2030",0,,
OCE1109945,15993,OCESN002026F1101110292,"2026",0,,
OCE1109945,1635,OCESN002030F1601610296,"2030",0,,
OCE1109945,16154,OCESN002030F1701710301,"2030",0,,
OCE1109945,16090,OCESN002030F1301310302,"2030",0,,
OCE1109945,15846,OCESN002030F1201210299,"2030",0,,
OCE1109945,15993,OCESN002030F0100110300,"2030",0,,
OCE1109945,16120,OCESN002008F1601610231,"2008",0,,
OCE1109945,16122,OCESN002008F0100110230,"2008",0,,
OCE1109945,16132,OCESN002008F1401410235,"2008",0,,
OCE1109945,16129,OCESN002008F1301310233,"2008",0,,
OCE1109945,16119,OCESN002008F0400410226,"2008",0,,
OCE1109945,16124,OCESN002008F1201210225,"2008",0,,
OCE1109945,16117,OCESN002008F1501510229,"2008",0,,
OCE1109945,16125,OCESN002008F1701710227,"2008",0,,
OCE1109945,16115,OCESN002014F2802810247,"2014",0,,
OCE1109945,16118,OCESN002014F1301310251,"2014",0,,
OCE1109945,16117,OCESN002014F2302310250,"2014",0,,
OCE1109945,16119,OCESN002014F2502510255,"2014",0,,
OCE1109945,16120,OCESN002014F0400410253,"2014",0,,
OCE1109945,16116,OCESN002014F1801810252,"2014",0,,
OCE1109945,15915,OCESN002014F2102110248,"2014",0,,
OCE1109945,16112,OCESN002026F0200210293,"2026",0,,
OCE1109945,16118,OCESN002008F0500510232,"2008",0,,
OCE1109945,16088,OCESN002022F0800810273,"2022",0,,
OCESN-87313874-87317263,15938,OCESN846648F0100159277,"846648",0,,
OCESN-87313874-87317263,18768,OCESN846646F0100159276,"846646",0,,
OCESN-87116137-87116160,15878,OCESN002101R0100110355,"2101",1,,
OCESN-87116137-87116160,20911,OCESN002103R0100110356,"2103",1,,
OCESN-87116137-87116160,15878,OCESN002105R0100110357,"2105",1,,
OCESN-87116137-87116160,15878,OCESN002100R0100210354,"2100",0,,
OCE1109947,30579,OCESN002327F0400410451,"2327",1,,
OCE1109947,30580,OCESN002325F0500510449,"2325",1,,
OCE1109947,15859,OCESN002321F0300310444,"2321",1,,
OCE1109947,15859,OCESN002319F0100110443,"2319",1,,
OCE1109947,15858,OCESN002317F0200210441,"2317",1,,
OCE1109947,15858,OCESN002323F0100110446,"2323",1,,
OCE1109947,15914,OCESN002323F0600610445,"2323",1,,
OCE1109947,30581,OCESN002307F0400410434,"2307",1,,
OCE1109947,15858,OCESN002301F0200210431,"2301",1,,
OCE1109947,2296,OCESN002317F0400410440,"2317",1,,
OCE1109947,15858,OCESN002309F0200210436,"2309",1,,
OCE1109947,15861,OCESN002329F0400410453,"2329",1,,
OCE1109947,15866,OCESN002333F0400410458,"2333",1,,
OCE1109947,15926,OCESN002329F0600610452,"2329",1,,
